codigo_jde;num_articulo;descripcion1;descripcion2;id_un_med_1;id_un_med_2;status
12995885;25100574;"CAÑO RIGIDO GALV. 3/4"" CHAPA  ";1,25 MM 11KSR-034-L           ;MT;MT;1
12995893;25100575;"CAÑO RIGIDO GALV. 1"" CHAPA    ";1,25 MM 11KSR-100-L           ;MT;MT;1
12995906;25100576;"CAÑO RIGIDO GALV. 1 1/4"" CHAPA";1,25 MM 11KSR-110-L           ;MT;MT;1
12995914;25100577;"CAÑO RIGIDO GALV. 1 1/2"" CHAPA";1,25 MM 11KSR-112-L           ;MT;MT;1
12995931;25100578;ABRAZADERA COMPLETA S/TORNILLO;"3/4"" 11BC-034-L               ";UN;UN;1
12995949;25100579;ABRAZADERA COMPLETA S/TORNILLO;"1"" 11BC-100-L                 ";UN;UN;1
12995957;25100580;ABRAZADERA COMPLETA S/TORNILLO;"1 1/4"" 11BC-110-L             ";UN;UN;1
12995965;25100581;ABRAZADERA COMPLETA S/TORNILLO;"1 1/2"" 11BC-112-L             ";UN;UN;1
12995973;25100582;CABLE TIPO TALLER 4X4 MM2 500V;CABLE TIPO TALLER 4X4 MM2 500V;MT;MT;1
12995981;25100583;CABLE MALLADO 25x1 MM2 500V   ;                              ;MT;MT;1
12995990;25100584;BORNERA SIMPLE 1.5 TIERRA     ;PARA RIEL DIN BKF-1.5-AV      ;UN;UN;1
12996001;12000908;DIAMOND CALIBRATING ROLLER FOR;1000MM MACH D240 595x5-60x9-12;UN;UN;1
13060820;22500798;TUERCA DE FIJACION KM-6       ;30X1.5 SKF                    ;UN;UN;1
12996028;12000909;DIAMOND CALIBRATING ROLLER FOR;1000MM MACH D240 595x5-80x9-12;UN;UN;1
12996036;22500757;CARRITO LINEAL KUVE 20 B      ;MARCA INA                     ;UN;UN;1
12953204;22700142;"O""RING W-016(1.78) WINNER PACK";"O""RING W-016(1.78) WINNER PACK";UN;UN;1
12953212;22700143;"O""RING W-145(2.62) WINNER PACK";"O""RING W-145(2.62) WINNER PACK";UN;UN;1
12953221;22700144;"O""RING W-111(2.62) WINNER PACK";"O""RING W-111(2.62) WINNER PACK";UN;UN;1
12953239;25157118;DESTELLADOR MARCA  RALUX  MODE;LO.226E 24VDC CON SOPORTE     ;UN;UN;1
12953247;501000004;GRANILLA RMA-4556             ;GRANILLA RMA-4556 Smalticeram ;KG;KG;1
1265220;12000161;COLOMBO POLISHING HEAD 4 DIAMA;NTES                          ;UN;UN;1
1265238;20900002;ETIQUETA 100X65X1 (ROLLOS X 12;50)                           ;RL;RL;1
1265246;10900107;TOPE DERECHO(SEGUN PLANO N°MRO; 134 A2)                      ;UN;UN;1
1265377;25500040;"ASIENTO P/VALV MARIPOSA 3' ""KE";"YSTONE"" EN NBR (P/200°F) MOD:9";UN;UN;1
12953335;12900461;SELLO DE CARBURO DE TUSTENO   ;COD:05 P/BOMBA MARZO 20ma     ;UN;UN;1
12953343;12900462;CARCAZA BOMBA MARZO COD:01    ;CARCAZA BOMBA MARZO COD:01    ;UN;UN;1
12953440;11600396;JUNTA GOMA   PLANO 160010118  ;PARA MIXER                    ;UN;UN;1
12953407;12000918;BLOCCHETTO POS:6 COD:14006582 ;ESCUADRADORA PLANO.200010087  ;UN;UN;1
12953415;12000919;BLOCCHETTO POS:6 COD:14006586 ;ESCUADRADORA  PLANO.200010088 ;UN;UN;1
12953423;25673578;BULON ALLEN M 12X50mm AC.     ;INOX. TODO ROSCA              ;UN;UN;1
12953431;11600395;CINTA TRANSPORTADORA  LARGO 65;00 E/C ANCHO.400MM ACANALADA  ;UN;UN;1
12953280;11701795;CLISE DE ALUMINIO FORM. 60x60 ;SERIE CONCRETE                ;UN;UN;1
12953298;11701796;CLISE DE ALUMINIO FORM. 45x90 ;SERIE CONCRETE                ;UN;UN;1
12953301;11701797;CLISE DE ALUMINIO FORM. 60x60 ;SERIE ECOLAND TXT             ;UN;UN;1
12953319;11701798;CLISE DE ALUMINIO FORM. 45x90 ;SERIE ART                     ;UN;UN;1
12953255;10200311;GIRANTE PARA VENTILADOR INDUS-;TRIAL (POS.1 ATM 090 VENTOLA) ;UN;UN;1
12953263;10200312;EJE (PARTE) P/VENTILADOR INDUS;TRIAL (POS.4 ATM 090 VENTOLA) ;UN;UN;1
12953271;10301279;MEMBRANA OBTURADORES ECO.2 60X;60(PLANO.BA-11-32-1-0)(TAMP.BA;UN;UN;1
12953327;12900460;PERNO COD:08/01 BOMBA MARZO   ;PERNO COD:08/01 BOMBA MARZO   ;UN;UN;1
1191890;25900191;FILTRO AIR  VCG 11172907 VOLVO;;UN;UN;1
1189108;11600184;EJE DE RODILLO (MOTRIZ) PLANO:;100010004;UN;UN;1
1189116;22800438;CARTUCHO AMG-EL-450 SMC       ;                              ;UN;UN;1
1189124;12000733;DISTANZIALE POS.9             ;COD.14001267 ANCORA           ;UN;UN;1
1190619;10300056;ENGRANAJE TAV.8C FIG31 PH1609 ;N°335010 (CAT159.16.R00) MOR 1;UN;UN;1
1193140;10300240;GUARNICION PISTON SOLEVAMENTO ;MATRICE COD:5583273           ;UN;UN;1
1193158;11701316;KIT GUARNICION PLACAS RADIADOR; PH 05710362                  ;UN;KI;1
1193166;11701317;KIT GUARNICION PLACAS RADIADOR; PH 05710363                  ;UN;KI;1
1192770;10700100;INGRANAGGIO Z25 47° RK20013019;6;UN;UN;1
