num_articulo;descripcion1;descripcion2;id_un_med_1;id_un_med_2;status
25100985;INTERFASE DE COMUNICACION     ;P/LOGGERS MS NOVUS IR LINK 3  ;UN;UN;1
19900398;GF14GOMM32D0180C GRIT 180 C   ;GF14GOMM32D0180C GRIT 180 C   ;UN;UN;1
19900399;GF14GOMM32D0240C GRIT 240 C   ;GF14GOMM32D0240C GRIT 240 C   ;UN;UN;1
10300049;MANGUERA  INTERCAMBIADOR DE   ;PRENSA  PL:030010401          ;UN;UN;1
12000503;CINTA TRANSP.100MM PVC 2800mm ;ENT.CENTRO  POLEA ù 250mm     ;UN;UN;1
10200338;RODILLO RECTOS ù 50X675mm     ;DE LARGO ATM1 PL 020010032    ;UN;UN;1
12001298;CINTA TRANSP.TELA Y GRIP 4650 ;ENTRE CENTRO ù RODILLO 200mm  ;UN;UN;1
25600782;VARILLA ROSCA METRICA 14MM    ;ROSCA IZQUIERDA               ;UN;UN;1
25600844;TUERCA 14 MM ROSCA IZQUIERDA  ;                              ;UN;UN;1
22500259;SOPORTE SNL 518-615(CAJERA)   ;                              ;UN;UN;1
22600418;OBTURADOR TSN 518L            ;DOBLE LABIO                   ;UN;UN;1
22500249;ANILLO FIJACION FRB-12.5/160  ;                              ;UN;UN;1
26000558;ZAPATILLA DE SEGURIDAD N¯39   ;PREMIUN MODELO SOUL           ;UN;UN;1
26000559;ZAPATILLA DE SEGURIDAD N¯35   ;PREMIUN MODELO BALI           ;UN;UN;1
19900414;FICKERT 170MM DIAMANTE #46    ;PREMIER                       ;UN;CJ;1
12001312;CONEXION DERIVADOR DE AGUA    ;RECTIFICADORA L12 PL:200070051;UN;UN;1
16500234;"CADENA TRIPLE BS-10-B3 5/8""   ";                              ;MT;MT;1
12001304;UPPER MOVABLE WHEEL ASSEMBLY  ;10.4 PARTS LIST KEDA          ;UN;UN;1
12001305;POSITION COVER                ;TBSY1-01-03 KEDA              ;UN;UN;1
12001306;LOWER MOVABLE WHEEL ASSEMBLY  ;10.6 PARTS LIST KEDA          ;UN;UN;1
12002046;DIAMOND CALIBRATING ROLLER FOR;1000MM MACH D240 445x5-60x9-12;UN;UN;1
19900408;GF14SPAZRES0180 GRIT 180      ;GF14SPAZRES0180 GRIT 180      ;UN;UN;1
19900409;GF14SPAZRES0240 GRIT 240      ;GF14SPAZRES0240 GRIT 240      ;UN;UN;1
19900410;SCC 2639+KG SCC 2639+         ;SCC 2639+KG SCC 2639+         ;KG;UN;1
25100981;TARJETA PMB-C8 PRINT MANAGER  ;BOARD GIS-SP002 CRETAPRINT    ;UN;UN;1
12002083;MOLA SUPER RIO 250x15x17 #60  ;MOLA SUPER RIO 250x15x17 #60  ;UN;UN;1
10700338;BUJE PUNTERA DE RODILLO       ;RODILLERA H2 PL:070010137     ;UN;UN;1
11400221;POLEA SPA 110mm 3 CANAL EJE 28;CASQUILLO CONICO CHAV.8mm     ;UN;UN;1
11400222;POLEA SPA 110mm 3 CANAL EJE 24;CASQUILLO CONICO CHAV.8mm     ;UN;UN;1
11400223;POLEA SPA 150mm 3 CANAL EJE 19;CASQUILLO CONICO CHAV.6mm     ;UN;UN;1
19900415;FICKERT 170MM DIAMANTE #60    ;PREMIER                       ;UN;CJ;1
19900416;FICKERT 170MM DIAMANTE #80    ;PREMIER                       ;UN;CJ;1
19900417;FICKERT 170MM DIAMANTE #120   ;PREMIER                       ;UN;CJ;1
501000133;5710 CUBIERTA                 ;5710 CUBIERTA                 ;KG;TN;1
501000134;5800 ESMALTE EN COMPOSICI‡N   ;5800 ESMALTE EN COMPOSICI‡N   ;KG;TN;1
501000135;M7DMX 6970 GRANILLA (BRP-44)  ;M7DMX 6970 GRANILLA (BRP-44)  ;KG;TN;1
13000192;EQUIPO LIMPIEZA Y SONICACION  ;ULTRASONIDO TESTLAB           ;UN;UN;1
11600442;EJE CODUCIDO DE CINTA TRANSP. ;LB L:485 PL: 160010146        ;UN;UN;1
11600443;EJE TRACCION DE CINTA TRANSP. ;LB L:655 PL: 160010147        ;UN;UN;1
25100986;CONVERTER ETH-FIREWIRE        ;GIS-SP006 GISCONVERSOR4       ;UN;UN;1
12001294;DRY ROLLER L:1100 200070040   ;RODILLO SECADOR PL 200070040  ;UN;UN;1
12001295;DRY ROLLER L:900 200070039    ;RODILLO SECADOR PL 200070039  ;UN;UN;1
12100736;SISTEMA EPOXI R XR-ACA-02     ;RESINA                        ;KG;KG;1
12002047;DIAMOND CALIBRATING ROLLER FOR;645(580)MM D240 295x5 GRANA 30;UN;UN;1
13000928;DEFLOCULANTE PK-3052          ;DEFLOCULANTE PK-3052          ;KG;KG;1
12001307;POLEA BELT PULLEY             ;TBSY2-01-01 KEDA              ;UN;UN;1
25100979;KIT DE CORTINA DE SEGURIDAD   ;SPXLP1 BANNER                 ;UN;UN;1
25100980;KIT DE ALINEACION LASER       ;LAT-1 BANNER                  ;UN;UN;1
22800914;CILINDRO DNC-40-900-PPV       ;CON DETECTOR MAGNETICO        ;UN;UN;1
39900238;Caja Blanca S/Impr p/Accesorio;160x50x95 - VERSION 0         ;UN;UN;1
19900400;GF14GOMM32D0300D GRIT 300 D   ;GF14GOMM32D0300D GRIT 300 D   ;UN;UN;1
19900401;CF10REDYLAP GRIT 180          ;CF10REDYLAP GRIT 180          ;UN;UN;1
19900411;SCC 2640+KG SCC 2640+         ;SCC 2640+KG SCC 2640+         ;KG;UN;1
19900412;SCC 2660+KG SCC 2660+         ;SCC 2660+KG SCC 2660+         ;KG;UN;1
19900413;SPT150/SB SPAZZ D150 TAMP ATT ;RAP/SCOTCH BRITE              ;UN;UN;1
10700339;PUNTERA DE RODILLO P/RODAM.   ;RODILLERA H2 PL:070010138     ;UN;UN;1
12001314;PLANO BEARING PLATE           ;K0255.02-01 POS.14 KEDA       ;UN;UN;1
12001315;LINEAR ROLLER SUPPORT         ;K0255.02.03 POS.17 KEDA       ;UN;UN;1
11400224;POLEA SPA 160mm 3 CANAL EJE 24;CASQUILLO CONICO CHAV.8mm     ;UN;UN;1
11400225;POLEA SPA 140mm 3 CANAL EJE 24;CASQUILLO CONICO CHAV.8mm     ;UN;UN;1
12002048;DISCO SETTORI RAVVICINATI SEC ;CER G 300X3X10 60 D151 904/61 ;UN;UN;1
12002049;DISCO SETTORI RAVVICINATI SEC ;CER G 300X3X10 60 D181 904/61 ;UN;UN;1
12002050;MUELA CUADRADORA METALICA BAND;A CONTINUA KEDA 300X12X25 D252;UN;UN;1
39900241;DISTANCIADOR CAJAS PP 60X60   ;DISTANCIADOR CAJAS PP 60X60   ;UN;PL;1
22500799;RODAMIENTO LINEAL TW-01-15    ;"DRY LIN ""T""  MARCA IGUS       ";UN;UN;1
12001308;RUEDA WHEEL SHAFT             ;TBSY2-01-02 KEDA              ;UN;UN;1
25100987;RELE MY4H 110 VAC OMRON       ;SELLADOS                      ;UN;UN;1
10154516;SPESSORE MTD34001022 POS.4    ;TAV.0601.001                  ;UN;UN;1
12002060;RULLO DIAM.90X90 PACCODISCHI  ;895MM GR40 CORPO 930MM 8 SPIRA;UN;UN;1
12001376;PLACA APOYO RODAMIENTO PARA   ;BLANGEGGIO PLANO:200070059    ;UN;UN;1
12002062;USAR CODIGO                   ;                              ;UN;UN;1
19900402;CF10REDYLAP GRIT 220          ;CF10REDYLAP GRIT 220          ;UN;UN;1
19900403;CF10REDYLAP GRIT 300          ;CF10REDYLAP GRIT 300          ;UN;UN;1
19900404;GF14SPAZDIA0180 GRIT 180      ;GF14SPAZDIA0180 GRIT 180      ;UN;UN;1
12002053;DIAMOND CALIBRATING ROLLER FOR;1200MM MACH D240 595x5-30x9-12;UN;UN;1
12002054;DIAMOND CALIBRATING ROLLER FOR;1200MM MACH D240 595x5-40x9-12;UN;UN;1
12002055;DIAMOND CALIBRATING ROLLER FOR;1200MM MACH D240 895x5-30x9-12;UN;UN;1
12001316;CROSSBEAM BASE BEARING PLATE  ;K0235.02-01 POS.20 KEDA       ;UN;UN;1
12001317;GEAR FOR KEY                  ;K0246C.02-01 POS.46 KEDA      ;UN;UN;1
12001318;PLATO FLAT KEY                ;GB/T1096-79 POS.54 KEDA       ;UN;UN;1
11400226;POLEA SPA 110mm 3 CANAL EJE 19;CASQUILLO CONICO CHAV.6mm     ;UN;UN;1
22500365;"ACOPLAMIENTO TUPAC ""M4-B""     ";                              ;UN;UN;1
25300518;"VALVULA PASO TOTAL 4"" 1/2     ";                              ;UN;UN;1
12001299;CILINDRO EN SILICONA L=1020mm ;GRABADO A LASER               ;UN;UN;1
12001300;CILINDRO EN SILICONA L=1020mm ;VIRGEN                        ;UN;UN;1
12900527;CANNOTTO CROMATTO 30X38X126   ;POS:29 PEMO 503 J3/5 AUS/VA   ;UN;UN;1
512000003;ALUMINA CALCINADA AL203 #200  ;ALUMINA CALCINADA AL203 #200  ;KG;KG;1
12000450;POLEA DOBLE CANAL C160        ;                              ;UN;UN;1
22500795;RODAMIENTO DE AGUJA 253320    ;CON BUJE ù 20                 ;UN;UN;1
501000131;SA 1137/15                    ;SA 1137/15                    ;KG;TN;1
501000132;SMB-650                       ;SMB-650                       ;KG;TN;1
13000197;CILINDRO IMPRESO GRABADO A    ;LASER ASTRA PRINT 650         ;UN;UN;1
13000641;CILINDRO IMPRESOR GRABADO A   ;LASER ASTRA PRINT 650         ;UN;UN;1
11700102;CATENA PORTA CAVI ORUGA       ;COD:1050820068 LB             ;UN;UN;1
12001320;ALBERO POS. 12                ;PEMO MEC125 1706/99           ;UN;UN;1
12001321;ANELLO OR 41000               ;POS.40 PEMO MEC125 1706/99    ;UN;UN;1
29923542;RUEDA PARA IPN 100            ;                              ;UN;UN;1
25100988;CONTROLADOR DE PROCESOS       ;KULLER 553 NPN 90A 260 VAC    ;UN;UN;1
25100989;SENSOR TEMPERATURA INFRARROJO ;BANNER M18TUP8Q               ;UN;UN;1
19900405;GF14SPAZDIA0220 GRIT 220      ;GF14SPAZDIA0220 GRIT 220      ;UN;UN;1
19900406;GF14SPAZDIA0300 GRIT 300      ;GF14SPAZDIA0300 GRIT 300      ;UN;UN;1
19900407;GF14SPAZDIA0400 GRIT 400      ;GF14SPAZDIA0400 GRIT 400      ;UN;UN;1
12002056;DIAMOND CALIBRATING ROLLER FOR;1200MM MACH D240 895x5-40x9-12;UN;UN;1
25000408;SILLA PARAISO                 ;                              ;UN;UN;1
25000409;SILLA TOLIX COBRE ANTIQUE     ;                              ;UN;UN;1
19900418;POL RESIN DIAMOND 120 F-170 EU;RA 73307413                   ;UN;CJ;1
19900419;POL RESIN DIAMOND 150 F-170 EU;RA 73307710                   ;UN;CJ;1
19900420;POL RESIN DIAMOND 180 F-170 EU;RA 73307710                   ;UN;CJ;1
22800240;CILINDRO ADN 80-80-I-P-A      ;MARCA: FESTO                  ;UN;UN;1
22800260;"RACORD TIPO:QSLV4 1/4""-10     ";                              ;UN;UN;1
515000057;FC264 (ADHESIVO GRANILLA MULTI;ROLL)                         ;KG;KG;1
22500800;ARANDELA RETENCION MB-12 DIAM.;INT. 60 MM SKF                ;UN;UN;1
22500801;RODAMIENTO NU 2207            ;                              ;UN;UN;1
22700196;O'RING SERIE:2-228            ;D.I 56.74 D.E 63.80 W=3.53    ;UN;UN;1
