num_articulo;descripcion1;descripcion2;id_un_med_1;id_un_med_2;status;
12400057;CORREA B69 MARCAOPTIBELT;CORREA B69 MARCAOPTIBELT;UN;UN;1;
12400067;CORREA B92;;UN;UN;1;
12400069;CORREA B94;;UN;UN;1;
12400070;CORREA B95;;UN;UN;1;
12400071;CORREA B96;;UN;UN;1;
12400081;CORREA B114;;UN;UN;1;
12400086;CORREA B130;;UN;UN;1;
12400087;CORREA B133;;UN;UN;1;
12400090;CORREA B140;;UN;UN;1;
12400093;CORREA B148;;UN;UN;1;
12400102;CORREA B210;;UN;UN;1;
12400122;CORREA B512;;UN;UN;1;
12400148;CORREA SPB43105V1700;;UN;UN;1;
12400149;CORREA 8V1800 CODIFICADAS;(MISMO LOTE);UN;UN;1;
12400151;CORREA SPB53005V2120;OPTIBELT;UN;UN;1;
12400212;CORREA DENTADA 1250H100 OPTIBE;LT;UN;UN;1;
12400213;CORREA DENTADA 1400H100 OPTIBE;LT;UN;UN;1;
12400229;CORREA DENTADA 1150H100 OPTIBE;LT GOMATELA;UN;UN;1;
12400231;CORREA B156;;UN;UN;1;
12400252;CORREA DENTADA OPTIBELT MOD;RPP1400-OMEGA HL-14 55 MM;UN;UN;1;
12400288;CORREA DENTADA 900H100 OPTIBEL;T;UN;UN;1;
12400343;CORREA XPA 2360;;UN;UN;1;
12400347;CORREA XPB2680=5VX1060 CODIFI-;CADAS.;UN;UN;1;
12400350;CORREA B103;;UN;UN;1;
12400365;CORREA POLICORD CANAL B PLANA;PW 171;MT;MT;1;
12400383;CORREA SPC4750 CODIFICADAS;(MISMO LOTE);UN;UN;1;
12400483;CORREA B142;;UN;UN;1;
12400484;CORREA B143;;UN;UN;1;
12400486;CORREA B157;;UN;UN;1;
12400489;CORREA B79;;UN;UN;1;
12400513;CORREA B150;CORREA B150;UN;UN;1;
12400550;CORREA B49;;UN;UN;1;
13001154;MALLA ACERO INOXIDABLE 10 MM L;UZ NETA 1.5MM ESPESOR ALAMBRE;M2;M2;1;
16500001;CADENA SIMPLE BS-06-B1 38;;MT;MT;1;
16500012;CADENA SIMPLE BS-12-B1 34;;MT;MT;1;
16500040;UNION DOBLE BS-08-B2 12;;UN;UN;1;
22500002;RODAMIENTO 6202 2RS1C3LHT23;;UN;UN;1;
22500012;RODAMIENTO SKF608 2RS1;;UN;UN;1;
22500019;RODAMIENTO 6301 2RS1C3 SKF;;UN;UN;1;
22500020;RODAMIENTO 6204 2RS1C3;;UN;UN;1;
22500023;RODAMIENTO 6008 2RS1SKF;;UN;UN;1;
22500028;RODAMIENTO 6200 2RS1C3;;UN;UN;1;
22500037;RODAMIENTO 3312A MARCASKF;;UN;UN;1;
22500045;ANILLO DE SEGURIDAD TIPO I-16;;UN;UN;1;
22500063;RODAMIENTO 6000 2RS1;;UN;UN;1;
22500067;RODAMIENTO YAR205;;UN;UN;1;
22500073;RODAMIENTO 6006 2RS1C3;;UN;UN;1;
22500079;SOPORTE FYTB-17-TF (CAJERA);;UN;UN;1;
22500088;RODAMIENTO YAR213 2F;;UN;UN;1;
22500091;RODAMIENTO 32010 X;;UN;UN;1;
22500110;EXTREMO ROSCADO CON ROTULA;SI 10 E HEMBRA ROS. DER.;UN;UN;1;
22500114;RODAMIENTO 22220 CCKC33;;UN;UN;1;
22500115;BUJE H320 (MANGUITO);;UN;UN;1;
22500139;ANILLO DE SEGURIDAD TIPO I-25;;UN;UN;1;
22500162;CARTUCHO GRASA SISTEN 24 LAGD;125WA2;UN;UN;1;
22500167;ANILLO DE SEGURIDAD TIPO I-35;;UN;UN;1;
22500178;RODAMIENTO RALE-30NPP-FA.106 M;ARCAINA;UN;UN;1;
22500204;RODAMIENTO 2309-TV;;UN;UN;1;
22500237;RODAMIENTO 22218-EK;;UN;UN;1;
22500508;SOPORTE SNL-520-617(CAJERA);;UN;UN;1;
22500560;MANGUITO H318 SKF;;UN;UN;1;
22500591;SOPORTE FY-40-TF (CAJERA);;UN;UN;1;
22500597;RODAMIENTO 61908 2RS1 6908 2R;RODAMIENTO 61908 2RS1 6908 2R;UN;UN;1;
22500627;ANILLO FIJACION FRB 12180;;UN;UN;1;
22600020;RETEN 18-30-7 SAV 7035 Lz;NITRILO;UN;UN;1;
22600032;RETEN 20-47-7 SAV 5420 Lx;NITRILO;UN;UN;1;
22600087;RETEN 40-56-8 SAV 5339 Lx;NITRILO;UN;UN;1;
22600101;RETEN 45-65-10 SAV 5223 Lz;NITRILO;UN;UN;1;
22600108;RETEN 50-65-8 SAV 5582 Mz;NITRILO;UN;UN;1;
22600111;RETEN 50-72-12 SAV 5147 Lx;NITRILO;UN;UN;1;
22600132;RETEN 70-90-10 SAV 5282 Lx;NITRILO;UN;UN;1;
22600199;RETEN 45-62-7 SAV 5214 Mz;NITRILO;UN;UN;1;
22600243;RETEN 40-62-7 SAV 10214 Lx;NITRILO;UN;UN;1;
22600254;RETEN 50-72-8 SAV 7010 Lx;NITRILO;UN;UN;1;
22600296;GUARNIZION SKF TSN-520;;UN;UN;1;
22600418;OBTURADOR TSN 518L;DOBLE LABIO;UN;UN;1;
22800003;ELECTROVALVULA MFH-5-18';CLASSIC TIGER FESTO;UN;UN;1;
22800017;RACORD TIPOQS-14-8;;UN;UN;1;
22800022;RACORD RAPIDO TIPOQS10-8;;UN;UN;1;
22800024;VALVULA REGULADORA DE CAUDAL;CON SILENCIADOR TIPO GRE-18ã;UN;UN;1;
22800027;RACORD TIPOQS14-10;;UN;UN;1;
22800033;TUBO TIPOPUN 10X1.5 BL;;MT;MT;1;
22800053;RACORD TIPOQSL18'-6;;UN;UN;1;
22800082;RACORD TIPOQST38-8;;UN;UN;1;
22800152;RACORD RAPIDO TIPOQS10-12;;UN;UN;1;
22800161;CILINDRO MODELODNGU-50-150-PP;V-A;UN;UN;1;
22800291;RACORD TIPOQSL-8;;UN;UN;1;
22800510;CILINDRO COMPACTO CQ2B16-30D S;MC;UN;UN;1;
22800624;RACORD ROSCA HEMBRAQSF-18-12;RACORD ROSCA HEMBRAQSF-18-12;UN;UN;1;
25100016;RACORD CAæO 32 X ROSCA 1 14';GW50418;UN;UN;1;
25100019;TUBO FLUORESCENTE TLRS 105110;PHILLIPS HO W54 TRS SLV20;UN;UN;1;
25100081;TIRA x 24 UNID. NUMERO 0 GRAFO;PLAST TRASP SYSTEM LARGE 11ã.;UN;UN;1;
